episode_id,event_utc,era,control_id,control_utc,control_status,matching_distance_rms_z
V2_2026-01-30_121,2026-01-30T00:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2026-01-04T03,2026-01-04T03:00:00Z,OK,1.0971960010639539
V2_2026-02-15_122,2026-02-15T07:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2026-02-14T18,2026-02-14T18:00:00Z,OK,0.21127285315256347
V2_2026-02-25_123,2026-02-25T21:00:00Z,MODERN_ANALOGUE_2025_2026,,,NO_ELIGIBLE_CONTROL_IN_CALIPER,
V2_2026-03-16_124,2026-03-16T22:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2026-03-16T05,2026-03-16T05:00:00Z,OK,0.13537077778275405
V2_2026-04-01_125,2026-04-01T16:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2026-04-15T16,2026-04-15T16:00:00Z,OK,0.13194041679411256
V2_2026-04-11_126,2026-04-11T19:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2026-03-12T23,2026-03-12T23:00:00Z,OK,0.3556530157777978
V2_2026-04-17_127,2026-04-17T16:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2026-05-04T04,2026-05-04T04:00:00Z,OK,0.13449475573496542
V2_2026-04-27_128,2026-04-27T01:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2026-04-06T09,2026-04-06T09:00:00Z,OK,0.06597956662836639
V2_2026-05-10_129,2026-05-10T18:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2026-05-10T17,2026-05-10T17:00:00Z,OK,0.09969850383711164
V2_2026-05-27_130,2026-05-27T15:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2026-05-05T07,2026-05-05T07:00:00Z,OK,0.43304164065087963
V2_2026-05-30_131,2026-05-30T02:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2026-05-08T16,2026-05-08T16:00:00Z,OK,0.0941411310951463
V2_2026-06-16_132,2026-06-16T08:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2026-07-03T06,2026-07-03T06:00:00Z,OK,0.1177645828296414
V2_2026-07-06_133,2026-07-06T21:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2026-07-05T22,2026-07-05T22:00:00Z,OK,0.4926242459293053
V2_2026-07-11_134,2026-07-11T20:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2026-07-04T16,2026-07-04T16:00:00Z,OK,0.10229525453110173
V2_2026-07-15_135,2026-07-15T12:00:00Z,MODERN_ANALOGUE_2025_2026,V2CTRL_2026-07-11T18,2026-07-11T18:00:00Z,OK,0.027854563384954685
