state_family,state,grouping,group,horizon_days,n_state,state_mean_return_pct,state_median_return_pct,state_positive_rate_pct,other_median_return_pct,median_delta_vs_other_pp
transmission_state,FALLING_EXPANDING_NO_RECENT_RECLAIM,year,2026,14,1,0.7728010929890283,0.7728010929890283,100.0,-2.0954225906004265,2.868223683589455
transmission_state,FALLING_EXPANDING_NO_RECENT_RECLAIM,year,2024,30,7,-11.169961872563476,-11.264700276724504,0.0,-4.850344701709219,-6.414355575015285
transmission_state,FALLING_EXPANDING_NO_RECENT_RECLAIM,year,2025,30,10,3.4406525454172496,-6.66837680040297,40.0,-0.9680014578893781,-5.700375342513592
transmission_state,FALLING_EXPANDING_NO_RECENT_RECLAIM,year,2026,30,1,-0.029951415094997547,-0.029951415094997547,0.0,-4.27126896667191,4.241317551576913
transmission_state,FALLING_EXPANDING_NO_RECENT_RECLAIM,regime_wf,Downtrend,7,3,-2.4737148928445993,-1.010316476984352,0.0,-1.1815613730963515,0.17124489611199945
transmission_state,FALLING_EXPANDING_NO_RECENT_RECLAIM,regime_wf,Transition,7,5,-3.026180483458874,-1.4999155086430238,20.0,-0.6244712348975667,-0.8754442737454571
transmission_state,FALLING_EXPANDING_NO_RECENT_RECLAIM,regime_wf,Uptrend,7,10,-0.7867723868280896,-1.4938983840316333,20.0,-1.2331472768516927,-0.26075110717994066
transmission_state,FALLING_EXPANDING_NO_RECENT_RECLAIM,regime_wf,Downtrend,14,3,-2.5649710998162676,-1.67115833820497,33.33333333333333,-1.0218793325169728,-0.6492790056879971
transmission_state,FALLING_EXPANDING_NO_RECENT_RECLAIM,regime_wf,Transition,14,5,1.0764897937878573,-4.261715111756315,40.0,-3.03704979328836,-1.224665318467955
transmission_state,FALLING_EXPANDING_NO_RECENT_RECLAIM,regime_wf,Uptrend,14,10,-1.8213188598581609,-3.358292539363339,20.0,-0.8477931499502822,-2.5104993894130567
transmission_state,FALLING_EXPANDING_NO_RECENT_RECLAIM,regime_wf,Downtrend,30,3,-2.185530063795571,-0.029951415094997547,33.33333333333333,-2.026433887698853,1.9964824726038555
transmission_state,FALLING_EXPANDING_NO_RECENT_RECLAIM,regime_wf,Transition,30,5,-2.3563351065384315,-8.191162261818452,20.0,-6.393882901164927,-1.7972793606535244
transmission_state,FALLING_EXPANDING_NO_RECENT_RECLAIM,regime_wf,Uptrend,30,10,-2.547489334478795,-9.501308522517814,20.0,-2.110910738189886,-7.390397784327927
transmission_state,FALLING_EXPANDING_NO_RECENT_RECLAIM,regime_rt,Downtrend,7,4,-2.666961839391771,-1.0844419307868558,0.0,-1.0205475609378012,-0.06389436984905461
transmission_state,FALLING_EXPANDING_NO_RECENT_RECLAIM,regime_rt,Transition,7,8,-3.6107812288790226,-3.0186839540153385,12.5,-1.029787071254551,-1.9888968827607876
transmission_state,FALLING_EXPANDING_NO_RECENT_RECLAIM,regime_rt,Uptrend,7,6,1.5223877040817018,-1.4938983840316333,33.33333333333333,-1.2908632048962754,-0.20303517913535796
transmission_state,FALLING_EXPANDING_NO_RECENT_RECLAIM,regime_rt,Downtrend,14,4,-6.731938863806686,-6.3972128963061925,0.0,-0.3289798156928203,-6.068233080613372
transmission_state,FALLING_EXPANDING_NO_RECENT_RECLAIM,regime_rt,Transition,14,8,0.29402657852382863,-2.42979696137704,37.5,-1.307062989525637,-1.122733971851403
transmission_state,FALLING_EXPANDING_NO_RECENT_RECLAIM,regime_rt,Uptrend,14,6,0.674981649657498,-4.474998555378557,33.33333333333333,-2.519527565065516,-1.955470990313041
transmission_state,FALLING_EXPANDING_NO_RECENT_RECLAIM,regime_rt,Downtrend,30,4,-14.594801146846176,-13.914988683208668,0.0,-1.7382350283025372,-12.17675365490613
transmission_state,FALLING_EXPANDING_NO_RECENT_RECLAIM,regime_rt,Transition,30,8,-2.753289710887242,-7.078837866054255,25.0,-3.631576466719899,-3.447261399334356
transmission_state,FALLING_EXPANDING_NO_RECENT_RECLAIM,regime_rt,Uptrend,30,6,6.098727200935969,-6.893272496291103,33.33333333333333,-6.331188873629168,-0.5620836226619348
