date_utc,btc_d_close,source_symbol,source_provider,source_convention,settled_timezone,source_timestamp,source_verified_timestamp,print_status,revision_delta,data_quality,source_status,notes
2023-01-01,40.0387,CMC_GLOBAL_METRICS_BTC_DOMINANCE,CoinMarketCap,CMC_DIRECT_SOURCE_CONVENTION: Bitcoin market cap / total market cap of cryptoassets tracked by CoinMarketCap * 100,UTC,2023-01-01T00:00:00Z,2026-08-30T10:38:54Z,SETTLED_COMPLETE_DATE,NOT_COMPUTABLE,PASS,PUBLIC_SOURCE_BACKED,Direct CMC historical global-metrics BTC dominance; not TradingView top-125 convention.
2026-06-17,58.4218,CMC_GLOBAL_METRICS_BTC_DOMINANCE,CoinMarketCap,CMC_DIRECT_SOURCE_CONVENTION: Bitcoin market cap / total market cap of cryptoassets tracked by CoinMarketCap * 100,UTC,2026-06-17T00:00:00Z,2026-08-30T10:38:54Z,SETTLED_COMPLETE_DATE,NOT_COMPUTABLE,PASS,PUBLIC_SOURCE_BACKED,Direct CMC historical global-metrics BTC dominance; not TradingView top-125 convention.
2026-06-18,58.2482,CMC_GLOBAL_METRICS_BTC_DOMINANCE,CoinMarketCap,CMC_DIRECT_SOURCE_CONVENTION: Bitcoin market cap / total market cap of cryptoassets tracked by CoinMarketCap * 100,UTC,2026-06-18T00:00:00Z,2026-08-30T10:38:54Z,SETTLED_COMPLETE_DATE,NOT_COMPUTABLE,PASS,PUBLIC_SOURCE_BACKED,Direct CMC historical global-metrics BTC dominance; not TradingView top-125 convention.
2026-06-19,58.0882,CMC_GLOBAL_METRICS_BTC_DOMINANCE,CoinMarketCap,CMC_DIRECT_SOURCE_CONVENTION: Bitcoin market cap / total market cap of cryptoassets tracked by CoinMarketCap * 100,UTC,2026-06-19T00:00:00Z,2026-08-30T10:38:54Z,SETTLED_COMPLETE_DATE,NOT_COMPUTABLE,PASS,PUBLIC_SOURCE_BACKED,Direct CMC historical global-metrics BTC dominance; not TradingView top-125 convention.
2026-06-20,58.336,CMC_GLOBAL_METRICS_BTC_DOMINANCE,CoinMarketCap,CMC_DIRECT_SOURCE_CONVENTION: Bitcoin market cap / total market cap of cryptoassets tracked by CoinMarketCap * 100,UTC,2026-06-20T00:00:00Z,2026-08-30T10:38:54Z,SETTLED_COMPLETE_DATE,NOT_COMPUTABLE,PASS,PUBLIC_SOURCE_BACKED,Direct CMC historical global-metrics BTC dominance; not TradingView top-125 convention.
2026-06-21,58.4439,CMC_GLOBAL_METRICS_BTC_DOMINANCE,CoinMarketCap,CMC_DIRECT_SOURCE_CONVENTION: Bitcoin market cap / total market cap of cryptoassets tracked by CoinMarketCap * 100,UTC,2026-06-21T00:00:00Z,2026-08-30T10:38:54Z,SETTLED_COMPLETE_DATE,NOT_COMPUTABLE,PASS,PUBLIC_SOURCE_BACKED,Direct CMC historical global-metrics BTC dominance; not TradingView top-125 convention.
2026-06-22,58.3109,CMC_GLOBAL_METRICS_BTC_DOMINANCE,CoinMarketCap,CMC_DIRECT_SOURCE_CONVENTION: Bitcoin market cap / total market cap of cryptoassets tracked by CoinMarketCap * 100,UTC,2026-06-22T00:00:00Z,2026-08-30T10:38:54Z,SETTLED_COMPLETE_DATE,NOT_COMPUTABLE,PASS,PUBLIC_SOURCE_BACKED,Direct CMC historical global-metrics BTC dominance; not TradingView top-125 convention.
2026-06-23,58.5006,CMC_GLOBAL_METRICS_BTC_DOMINANCE,CoinMarketCap,CMC_DIRECT_SOURCE_CONVENTION: Bitcoin market cap / total market cap of cryptoassets tracked by CoinMarketCap * 100,UTC,2026-06-23T00:00:00Z,2026-08-30T10:38:54Z,SETTLED_COMPLETE_DATE,NOT_COMPUTABLE,PASS,PUBLIC_SOURCE_BACKED,Direct CMC historical global-metrics BTC dominance; not TradingView top-125 convention.
2026-06-24,58.4409,CMC_GLOBAL_METRICS_BTC_DOMINANCE,CoinMarketCap,CMC_DIRECT_SOURCE_CONVENTION: Bitcoin market cap / total market cap of cryptoassets tracked by CoinMarketCap * 100,UTC,2026-06-24T00:00:00Z,2026-08-30T10:38:54Z,SETTLED_COMPLETE_DATE,NOT_COMPUTABLE,PASS,PUBLIC_SOURCE_BACKED,Direct CMC historical global-metrics BTC dominance; not TradingView top-125 convention.
2026-06-25,58.1805,CMC_GLOBAL_METRICS_BTC_DOMINANCE,CoinMarketCap,CMC_DIRECT_SOURCE_CONVENTION: Bitcoin market cap / total market cap of cryptoassets tracked by CoinMarketCap * 100,UTC,2026-06-25T00:00:00Z,2026-08-30T10:38:54Z,SETTLED_COMPLETE_DATE,NOT_COMPUTABLE,PASS,PUBLIC_SOURCE_BACKED,Direct CMC historical global-metrics BTC dominance; not TradingView top-125 convention.
2026-06-26,58.0728,CMC_GLOBAL_METRICS_BTC_DOMINANCE,CoinMarketCap,CMC_DIRECT_SOURCE_CONVENTION: Bitcoin market cap / total market cap of cryptoassets tracked by CoinMarketCap * 100,UTC,2026-06-26T00:00:00Z,2026-08-30T10:38:54Z,SETTLED_COMPLETE_DATE,NOT_COMPUTABLE,PASS,PUBLIC_SOURCE_BACKED,Direct CMC historical global-metrics BTC dominance; not TradingView top-125 convention.
2026-06-27,58.0008,CMC_GLOBAL_METRICS_BTC_DOMINANCE,CoinMarketCap,CMC_DIRECT_SOURCE_CONVENTION: Bitcoin market cap / total market cap of cryptoassets tracked by CoinMarketCap * 100,UTC,2026-06-27T00:00:00Z,2026-08-30T10:38:54Z,SETTLED_COMPLETE_DATE,NOT_COMPUTABLE,PASS,PUBLIC_SOURCE_BACKED,Direct CMC historical global-metrics BTC dominance; not TradingView top-125 convention.
2026-06-28,58.1403,CMC_GLOBAL_METRICS_BTC_DOMINANCE,CoinMarketCap,CMC_DIRECT_SOURCE_CONVENTION: Bitcoin market cap / total market cap of cryptoassets tracked by CoinMarketCap * 100,UTC,2026-06-28T00:00:00Z,2026-08-30T10:38:54Z,SETTLED_COMPLETE_DATE,NOT_COMPUTABLE,PASS,PUBLIC_SOURCE_BACKED,Direct CMC historical global-metrics BTC dominance; not TradingView top-125 convention.
2026-06-29,58.0148,CMC_GLOBAL_METRICS_BTC_DOMINANCE,CoinMarketCap,CMC_DIRECT_SOURCE_CONVENTION: Bitcoin market cap / total market cap of cryptoassets tracked by CoinMarketCap * 100,UTC,2026-06-29T00:00:00Z,2026-08-30T10:38:54Z,SETTLED_COMPLETE_DATE,NOT_COMPUTABLE,PASS,PUBLIC_SOURCE_BACKED,Direct CMC historical global-metrics BTC dominance; not TradingView top-125 convention.
2026-06-30,57.8966,CMC_GLOBAL_METRICS_BTC_DOMINANCE,CoinMarketCap,CMC_DIRECT_SOURCE_CONVENTION: Bitcoin market cap / total market cap of cryptoassets tracked by CoinMarketCap * 100,UTC,2026-06-30T00:00:00Z,2026-08-30T10:38:54Z,SETTLED_COMPLETE_DATE,NOT_COMPUTABLE,PASS,PUBLIC_SOURCE_BACKED,Direct CMC historical global-metrics BTC dominance; not TradingView top-125 convention.
2026-07-01,57.6599,CMC_GLOBAL_METRICS_BTC_DOMINANCE,CoinMarketCap,CMC_DIRECT_SOURCE_CONVENTION: Bitcoin market cap / total market cap of cryptoassets tracked by CoinMarketCap * 100,UTC,2026-07-01T00:00:00Z,2026-08-30T10:38:54Z,SETTLED_COMPLETE_DATE,NOT_COMPUTABLE,PASS,PUBLIC_SOURCE_BACKED,Direct CMC historical global-metrics BTC dominance; not TradingView top-125 convention.
2026-07-02,57.9257,CMC_GLOBAL_METRICS_BTC_DOMINANCE,CoinMarketCap,CMC_DIRECT_SOURCE_CONVENTION: Bitcoin market cap / total market cap of cryptoassets tracked by CoinMarketCap * 100,UTC,2026-07-02T00:00:00Z,2026-08-30T10:38:54Z,SETTLED_COMPLETE_DATE,NOT_COMPUTABLE,PASS,PUBLIC_SOURCE_BACKED,Direct CMC historical global-metrics BTC dominance; not TradingView top-125 convention.
2026-07-03,57.9463,CMC_GLOBAL_METRICS_BTC_DOMINANCE,CoinMarketCap,CMC_DIRECT_SOURCE_CONVENTION: Bitcoin market cap / total market cap of cryptoassets tracked by CoinMarketCap * 100,UTC,2026-07-03T00:00:00Z,2026-08-30T10:38:54Z,SETTLED_COMPLETE_DATE,NOT_COMPUTABLE,PASS,PUBLIC_SOURCE_BACKED,Direct CMC historical global-metrics BTC dominance; not TradingView top-125 convention.
2026-07-04,57.8341,CMC_GLOBAL_METRICS_BTC_DOMINANCE,CoinMarketCap,CMC_DIRECT_SOURCE_CONVENTION: Bitcoin market cap / total market cap of cryptoassets tracked by CoinMarketCap * 100,UTC,2026-07-04T00:00:00Z,2026-08-30T10:38:54Z,SETTLED_COMPLETE_DATE,NOT_COMPUTABLE,PASS,PUBLIC_SOURCE_BACKED,Direct CMC historical global-metrics BTC dominance; not TradingView top-125 convention.
2026-07-05,57.9143,CMC_GLOBAL_METRICS_BTC_DOMINANCE,CoinMarketCap,CMC_DIRECT_SOURCE_CONVENTION: Bitcoin market cap / total market cap of cryptoassets tracked by CoinMarketCap * 100,UTC,2026-07-05T00:00:00Z,2026-08-30T10:38:54Z,SETTLED_COMPLETE_DATE,NOT_COMPUTABLE,PASS,PUBLIC_SOURCE_BACKED,Direct CMC historical global-metrics BTC dominance; not TradingView top-125 convention.
2026-07-06,58.0507,CMC_GLOBAL_METRICS_BTC_DOMINANCE,CoinMarketCap,CMC_DIRECT_SOURCE_CONVENTION: Bitcoin market cap / total market cap of cryptoassets tracked by CoinMarketCap * 100,UTC,2026-07-06T00:00:00Z,2026-08-30T10:38:54Z,SETTLED_COMPLETE_DATE,NOT_COMPUTABLE,PASS,PUBLIC_SOURCE_BACKED,Direct CMC historical global-metrics BTC dominance; not TradingView top-125 convention.
2026-07-07,58.2153,CMC_GLOBAL_METRICS_BTC_DOMINANCE,CoinMarketCap,CMC_DIRECT_SOURCE_CONVENTION: Bitcoin market cap / total market cap of cryptoassets tracked by CoinMarketCap * 100,UTC,2026-07-07T00:00:00Z,2026-08-30T10:38:54Z,SETTLED_COMPLETE_DATE,NOT_COMPUTABLE,PASS,PUBLIC_SOURCE_BACKED,Direct CMC historical global-metrics BTC dominance; not TradingView top-125 convention.
2026-07-08,58.2362,CMC_GLOBAL_METRICS_BTC_DOMINANCE,CoinMarketCap,CMC_DIRECT_SOURCE_CONVENTION: Bitcoin market cap / total market cap of cryptoassets tracked by CoinMarketCap * 100,UTC,2026-07-08T00:00:00Z,2026-08-30T10:38:54Z,SETTLED_COMPLETE_DATE,NOT_COMPUTABLE,PASS,PUBLIC_SOURCE_BACKED,Direct CMC historical global-metrics BTC dominance; not TradingView top-125 convention.
2026-07-09,58.1037,CMC_GLOBAL_METRICS_BTC_DOMINANCE,CoinMarketCap,CMC_DIRECT_SOURCE_CONVENTION: Bitcoin market cap / total market cap of cryptoassets tracked by CoinMarketCap * 100,UTC,2026-07-09T00:00:00Z,2026-08-30T10:38:54Z,SETTLED_COMPLETE_DATE,NOT_COMPUTABLE,PASS,PUBLIC_SOURCE_BACKED,Direct CMC historical global-metrics BTC dominance; not TradingView top-125 convention.
2026-07-10,58.4364,CMC_GLOBAL_METRICS_BTC_DOMINANCE,CoinMarketCap,CMC_DIRECT_SOURCE_CONVENTION: Bitcoin market cap / total market cap of cryptoassets tracked by CoinMarketCap * 100,UTC,2026-07-10T00:00:00Z,2026-08-30T10:38:54Z,SETTLED_COMPLETE_DATE,NOT_COMPUTABLE,PASS,PUBLIC_SOURCE_BACKED,Direct CMC historical global-metrics BTC dominance; not TradingView top-125 convention.
2026-07-11,58.4887,CMC_GLOBAL_METRICS_BTC_DOMINANCE,CoinMarketCap,CMC_DIRECT_SOURCE_CONVENTION: Bitcoin market cap / total market cap of cryptoassets tracked by CoinMarketCap * 100,UTC,2026-07-11T00:00:00Z,2026-08-30T10:38:54Z,SETTLED_COMPLETE_DATE,NOT_COMPUTABLE,PASS,PUBLIC_SOURCE_BACKED,Direct CMC historical global-metrics BTC dominance; not TradingView top-125 convention.
